Wavelength_nm,-15.0V,-14.0V,-13.0V,-12.0V,-11.0V,-7.9V,-4.0V,-1.0V
1078,0.6460825931118737,0.6423197847036834,0.6398128636887729,0.6301799561047257,0.6078656773633506,0.34466026850102016,0.015298506313195785,-0.0003345989418985547
1079,0.6465279872676116,0.6428113766058898,0.6402449636603338,0.6305627074768441,0.6081153324401272,0.34341329378245194,0.014950794021677725,-0.0003367986997435415
1080,0.6469656374055941,0.6432954798509884,0.6406702521039218,0.6309382409644828,0.6083571982179543,0.34216039170696677,0.014618635329886633,-0.0003374833368683526
1081,0.6473961570888493,0.6437726241234173,0.6410893634800108,0.6313071267080992,0.6085918161955348,0.34090173648850686,0.014301379919779297,-0.00033673428602275777
1082,0.6478201598804054,0.6442433391076143,0.6415029322490744,0.6316699348481506,0.6088197278715715,0.33963750234101453,0.013998377473312514,-0.00033463297995652637
1083,0.6482382593432902,0.6447081544880175,0.6419115928715863,0.6320272355250945,0.6090414747447668,0.33836786347843173,0.01370897767244307,-0.000331260851419428
1084,0.648651069040532,0.6451675999490645,0.6423159798080202,0.6323795988793883,0.6092575983138235,0.33709299411470084,0.013432530199127766,-0.00032669933316123207
1085,0.6490592025351587,0.6456222051751934,0.6427167275188501,0.6327275950514896,0.6094686400774443,0.3358130684637639,0.01316838473532339,-0.0003210298579317081
1086,0.6494632733901986,0.6460724998508424,0.6431144704645494,0.6330717941818553,0.6096751415343319,0.3345282607395632,0.012915890962986735,-0.00031433385848062565
1087,0.6498638951686795,0.6465190136604488,0.6435098431055919,0.6334127664109435,0.6098776441831889,0.3332387451560409,0.012674398564074596,-0.00030669276755775424
1088,0.6502616814336295,0.6469622762884512,0.6439034799024514,0.6337510818792111,0.6100766895227179,0.3319446959271392,0.012443257220543767,-0.0002981880179128632
1089,0.6506572457480708,0.6474028174192802,0.6442960153155941,0.6340873107271092,0.6102728190516157,0.3306462872668006,0.012221816614351991,-0.0002889010422955989
1090,0.6510512016747589,0.6478411667370729,0.6446880838051614,0.6344220230947941,0.6104665742683103,0.32934369338898173,0.012009426427498672,-0.0002789132734502269
1091,0.6514441627714953,0.6482778539204892,0.6450803198252513,0.6347557891169501,0.6106584966662394,0.3280370885079034,0.011805436342758324,-0.0002683061440208821
1092,0.6518367425453419,0.6487134085920998,0.6454733577680676,0.6350891788722188,0.6108491276877288,0.3267266468404899,0.011609196050843377,-0.0002571610856262753
1093,0.652229554160527,0.6491483599954905,0.6458678316076106,0.6354227620605721,0.6110390084297551,0.32541254262193403,0.011420055296101296,-0.0002455595229565041
1094,0.6526232090396971,0.6495832354490215,0.6462643731934219,0.6357571064583573,0.6112286782349319,0.3240949501802308,0.011237364095343153,-0.00023358284550462362
1095,0.6530183114647184,0.6500185543773009,0.6466636056644031,0.6360927719547327,0.6114186692526891,0.32277404422388045,0.011060473582527042,-0.00022131229844984078
1096,0.6534154415502329,0.6504548094893583,0.6470661226792069,0.6364302917454918,0.6116094892878791,0.3214500007491631,0.010888738672478273,-0.00020882863855624075
1097,0.6538151116369755,0.6508924185737802,0.6474724352228766,0.6367701241682813,0.6118015778740813,0.3201229993637739,0.010721524882983514,-0.0001962112528898042
1098,0.6542176765001917,0.6513316252389016,0.6478828620751009,0.6371125535253247,0.6119952158230766,0.31879322807147736,0.010558222382330867,-0.0001835363441471699
1099,0.6546231872075058,0.6517723373604668,0.6482973515395778,0.6374575286654127,0.6121903780102358,0.31746089105946806,0.0103982688526719,-0.00017087397715023327
1100,0.6550312094898076,0.6522139263003226,0.6487152598847875,0.6378044623695444,0.6123865504125036,0.3161262183766993,0.010241177905182496,-0.00015828440815541836
1101,0.6554406660842176,0.6526550526249681,0.6491351590269666,0.6381520572143895,0.6125825712943818,0.3147894743348304,0.010086563744886257,-0.00014581489863421218
1102,0.6558497735238931,0.6530935962300549,0.6495547594235188,0.6384982357548894,0.6127765675338626,0.3134509608764585,0.009934151059640689,-0.0001334984378068844
1103,0.6562561053482221,0.6535267262158868,0.6499709871796047,0.638840210341656,0.6129660182964944,0.3121110142068868,0.009783765131151017,-0.00012135502010876762
1104,0.6566567497598577,0.6539510751688702,0.6503801763651664,0.6391746572575099,0.6131479138494004,0.31076999639317715,0.009635307170146778,-0.000109394831409723
1105,0.6570484912538324,0.6543629399428211,0.6507782905741557,0.6394979173318387,0.6133189385232936,0.3094282856858217,0.00948872590122098,-9.762191970486852e-05
1106,0.6574279567596887,0.6547584432113034,0.65116110119517,0.6398061573586074,0.613475617927088,0.3080862687313817,0.009343994699468058,-8.603714861998011e-05
